<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.10.08	00:00:00	6342.221	6342.873	6341.579	6341.599	30	0	170
2021.10.08	00:01:00	6341.752	6342.189	6341.247	6341.458	30	0	170
2021.10.08	00:02:00	6341.620	6341.793	6341.147	6341.675	30	0	170
2021.10.08	00:03:00	6341.754	6341.877	6341.093	6341.488	29	0	170
2021.10.08	00:04:00	6341.413	6341.934	6341.163	6341.605	30	0	170
2021.10.08	00:05:00	6341.797	6341.797	6340.962	6341.424	30	0	170
2021.10.08	00:06:00	6341.534	6341.572	6340.348	6341.384	30	0	170
2021.10.08	00:07:00	6341.391	6341.520	6340.705	6340.705	30	0	170
2021.10.08	00:08:00	6340.849	6341.557	6340.340	6341.206	30	0	170
2021.10.08	00:09:00	6340.930	6341.025	6340.331	6340.459	30	0	170
2021.10.08	00:10:00	6340.536	6341.001	6339.759	6339.977	30	0	170
2021.10.08	00:11:00	6340.283	6341.607	6340.283	6340.965	30	0	170
2021.10.08	00:12:00	6340.988	6341.454	6340.778	6341.242	30	0	170
2021.10.08	00:13:00	6341.495	6341.604	6339.771	6340.352	30	0	170
2021.10.08	00:14:00	6340.486	6340.819	6340.011	6340.011	30	0	170
2021.10.08	00:15:00	6339.697	6340.969	6339.568	6340.061	30	0	170
2021.10.08	00:16:00	6340.125	6341.481	6340.125	6340.800	30	0	170
2021.10.08	00:17:00	6340.919	6342.099	6340.674	6341.795	30	0	170
2021.10.08	00:18:00	6341.583	6341.585	6340.829	6341.190	30	0	170
2021.10.08	00:19:00	6341.525	6343.029	6341.524	6342.643	30	0	170
2021.10.08	00:20:00	6342.913	6345.064	6342.913	6345.064	30	0	170
2021.10.08	00:21:00	6345.245	6345.969	6345.057	6345.128	30	0	170
2021.10.08	00:22:00	6345.212	6345.212	6344.083	6344.867	30	0	170
2021.10.08	00:23:00	6345.229	6345.372	6344.613	6345.372	30	0	170
2021.10.08	00:24:00	6344.949	6346.242	6344.718	6345.384	30	0	170
2021.10.08	00:25:00	6345.324	6345.513	6344.731	6345.128	30	0	170
2021.10.08	00:26:00	6345.045	6345.045	6343.311	6343.757	30	0	170
2021.10.08	00:27:00	6343.647	6344.107	6343.299	6343.678	30	0	170
2021.10.08	00:28:00	6343.544	6343.544	6342.262	6342.265	30	0	170
2021.10.08	00:29:00	6342.259	6343.259	6342.113	6342.814	30	0	170
2021.10.08	00:30:00	6342.769	6343.908	6342.498	6343.550	30	0	170
2021.10.08	00:31:00	6343.471	6344.101	6343.163	6343.487	30	0	170
2021.10.08	00:32:00	6343.468	6344.031	6343.086	6343.982	29	0	170
2021.10.08	00:33:00	6344.164	6344.164	6342.867	6343.093	30	0	170
2021.10.08	00:34:00	6343.195	6343.933	6342.891	6343.532	30	0	170
2021.10.08	00:35:00	6343.264	6344.043	6342.413	6342.413	30	0	170
2021.10.08	00:36:00	6342.322	6342.488	6341.965	6342.281	30	0	170
2021.10.08	00:37:00	6342.261	6342.404	6340.150	6340.333	30	0	170
2021.10.08	00:38:00	6340.278	6340.278	6339.312	6340.122	30	0	170
2021.10.08	00:39:00	6340.344	6340.344	6339.101	6339.259	30	0	170
2021.10.08	00:40:00	6339.436	6339.905	6338.478	6339.297	30	0	170
2021.10.08	00:41:00	6339.285	6339.285	6337.787	6337.787	30	0	170
2021.10.08	00:42:00	6337.615	6337.615	6336.665	6336.665	30	0	170
2021.10.08	00:43:00	6336.587	6337.415	6335.692	6335.692	30	0	170
2021.10.08	00:44:00	6335.649	6335.924	6334.530	6335.203	30	0	170
2021.10.08	00:45:00	6334.946	6335.341	6334.348	6334.806	30	0	170
2021.10.08	00:46:00	6334.961	6335.621	6334.661	6334.661	30	0	170
2021.10.08	00:47:00	6335.175	6335.361	6333.722	6333.740	30	0	170
2021.10.08	00:48:00	6333.801	6333.801	6332.829	6332.916	30	0	170
2021.10.08	00:49:00	6333.072	6333.273	6332.423	6332.999	30	0	170
2021.10.08	00:50:00	6333.324	6333.761	6332.696	6333.400	30	0	170
2021.10.08	00:51:00	6333.480	6333.530	6332.542	6332.912	30	0	170
2021.10.08	00:52:00	6332.881	6332.997	6332.191	6332.948	29	0	170
2021.10.08	00:53:00	6332.719	6332.719	6331.868	6332.353	30	0	170
2021.10.08	00:54:00	6332.080	6332.745	6331.645	6331.999	30	0	170
2021.10.08	00:55:00	6332.022	6333.382	6332.022	6333.230	30	0	170
2021.10.08	00:56:00	6333.514	6333.914	6332.655	6332.756	30	0	170
2021.10.08	00:57:00	6332.679	6333.563	6332.515	6333.563	30	0	170
2021.10.08	00:58:00	6333.433	6333.573	6332.282	6332.337	30	0	170
2021.10.08	00:59:00	6332.274	6332.963	6332.270	6332.797	29	0	170
2021.10.08	01:00:00	6332.797	6333.561	6331.037	6331.037	30	0	170
2021.10.08	01:01:00	6330.843	6331.220	6330.138	6330.239	30	0	170
2021.10.08	01:02:00	6330.290	6331.096	6330.068	6330.171	30	0	170
2021.10.08	01:03:00	6330.405	6331.448	6330.342	6331.351	30	0	170
2021.10.08	01:04:00	6331.238	6331.525	6330.635	6330.635	30	0	170
2021.10.08	01:05:00	6330.361	6331.027	6330.153	6330.662	30	0	170
2021.10.08	01:06:00	6330.461	6330.524	6329.499	6330.467	30	0	170
2021.10.08	01:07:00	6330.231	6330.998	6329.897	6329.951	30	0	170
2021.10.08	01:08:00	6329.981	6330.372	6329.417	6330.291	30	0	170
2021.10.08	01:09:00	6330.449	6330.834	6329.254	6329.524	30	0	170
2021.10.08	01:10:00	6329.198	6330.203	6328.537	6330.203	30	0	170
2021.10.08	01:11:00	6330.140	6330.721	6329.916	6330.721	30	0	170
